espn_id,school,name,abbreviation,color,stadium,city,state,zip,grass,stadium_indoor,division
30,USC,Trojans,USC,9e2237,Los Angeles Memorial Coliseum,Los Angeles,CA,90037,True,False,Pac-12
55,Jacksonville State,Gamecocks,JVST,b50500,Burgess-Snow Field,Jacksonville,AL,36265,False,False,Conference USA
166,New Mexico State,Aggies,NMSU,891216,Aggie Memorial Stadium,Las Cruces,NM,88003,False,False,Conference USA
21,San Diego State,Aztecs,SDSU,c41230,Snapdragon Stadium,San Diego,CA,92108,False,False,Mountain West
2348,Louisiana Tech,Bulldogs,LT,002d65,Joe Aillet Stadium,Ruston,LA,71270,False,False,Conference USA
238,Vanderbilt,Commodores,VAN,000000,FirstBank Stadium,Nashville,TN,37212,False,False,SEC - East
254,Utah,Utes,UTAH,ea002a,Rice-Eccles Stadium,Salt Lake City,UT,84112,False,False,Pac-12
154,Wake Forest,Demon Deacons,WAKE,000000,Allegacy Federal Credit Union Stadium,Winston-Salem,NC,27105,False,False,ACC
2116,UCF,Knights,UCF,000000,FBC Mortgage Stadium,Orlando,FL,32816,True,False,Big 12
2247,Georgia State,Panthers,GAST,1e539a,Center Parc Stadium,Atlanta,GA,30315,False,False,Sun Belt - East
2711,Western Michigan,Broncos,WMU,532e1f,Waldo Stadium,Kalamazoo,MI,49008,False,False,Mid-American - West
338,Kennesaw State,Owls,KENN,fdbb30,Fifth Third Stadium,Kennesaw,GA,30144,True,False,FCS Independents
41,UConn,Huskies,CONN,0c2340,Pratt & Whitney Stadium,East Hartford,CT,06118,True,False,FBS Independents
135,Minnesota,Golden Gophers,MINN,5e0a2f,Huntington Bank Stadium,Minneapolis,MN,55455,False,False,Big Ten - West
142,Missouri,Tigers,MIZ,f1b82d,Memorial Stadium/Faurot Field,Columbia,MO,65203,False,False,SEC - East
202,Tulsa,Golden Hurricane,TLSA,003595,Chapman Stadium,Tulsa,OK,74104,False,False,American
5,UAB,Blazers,UAB,003b28,Protective Stadium,Birmingham,AL,35203,True,False,American
9,Arizona State,Sun Devils,ASU,8e0c3a,Mountain America Stadium,Tempe,AZ,85287,True,False,Pac-12
2199,Eastern Michigan,Eagles,EMU,00331b,Rynearson Stadium,Ypsilanti,MI,48197,False,False,Mid-American - West
127,Michigan State,Spartans,MSU,18453b,Spartan Stadium,East Lansing,MI,48824,True,False,Big Ten - East
2390,Miami,Hurricanes,MIA,005030,Hard Rock Stadium,Miami Gardens,FL,33056,True,False,ACC
2305,Kansas,Jayhawks,KU,0051ba,David Booth Kansas Memorial Stadium,Lawrence,KS,66044,False,False,Big 12
62,Hawai'i,Rainbow Warriors,HAW,003420,Clarence T.C. Ching Athletics Complex,Honolulu,HI,96822,True,False,Mountain West
61,Georgia,Bulldogs,UGA,ba0c2f,Sanford Stadium,Athens,GA,30602,True,False,SEC - East
130,Michigan,Wolverines,MICH,00274c,Michigan Stadium,Ann Arbor,MI,48104,False,False,Big Ten - East
84,Indiana,Hoosiers,IU,990000,"Memorial Stadium (Bloomington, IN)",Bloomington,IN,47408,False,False,Big Ten - East
333,Alabama,Crimson Tide,ALA,9e1632,Bryant-Denny Stadium,Tuscaloosa,AL,35401,True,False,SEC - West
213,Penn State,Nittany Lions,PSU,00265D,Beaver Stadium,University Park,PA,16802,True,False,Big Ten - East
264,Washington,Huskies,WASH,33006f,Husky Stadium,Seattle,WA,98195,False,False,Pac-12
